		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   30   31   23   28   28   22   29   23  5.581338 0.694013 SUCCESS   0
000000011   27   23   27   23   25   30   23   21  2.656049 0.954057 SUCCESS   1
000000101   24   26   23   31   23   21   35   23  7.461360 0.487768 SUCCESS   2
000000111   29   22   34   18   32   24   28   32 12.233573 0.141083 SUCCESS   3
000001001   18   33   21   29   29   27   27   21  8.215355 0.412721 SUCCESS   4
000001011   26   25   29   25   23   18   37   28 10.131125 0.255943 SUCCESS   5
000001101   19   15   23   27   28   22   29   20  7.856562 0.447606 SUCCESS   6
000001111   20   20   29   28   29   17   28   27  7.138314 0.521786 SUCCESS   7
000010001   27   19   24   18   20   22   31   24  6.179106 0.627177 SUCCESS   8
000010011   15   32   21   27   27   25   20   21  8.577458 0.379184 SUCCESS   9
000010101   34   19   21   18   25   32   19   19 12.297123 0.138431 SUCCESS  10
000010111   22   29   26   18   16   19   35   36 17.671075 0.023832 SUCCESS  11
000011001   20   24   26   23   29   32   16   28  7.900915 0.443209 SUCCESS  12
000011011   18   25   17   26   34   29   30   27 10.596497 0.225627 SUCCESS  13
000011101   29   23   24   21   25   28   19   30  4.604918 0.798847 SUCCESS  14
000011111   21   18   24   32   24   21   30   21  6.993341 0.537351 SUCCESS  15
000100011   22   18   25   22   17   29   31   24  7.306457 0.503958 SUCCESS  16
000100101   18   26   27   30   23   25   29   22  4.698257 0.789286 SUCCESS  17
000100111   28   29   25   31   26   22   24   27  3.954192 0.861233 SUCCESS  18
000101001   20   24   26   29   18   25   26   28  4.240167 0.834831 SUCCESS  19
000101011   27   26   25   22   21   34   23   20  5.952047 0.652604 SUCCESS  20
000101101   35   27   28   26   23   19   30   20  9.173240 0.327893 SUCCESS  21
000101111   27   19   25   23   21   18   35   26  8.713826 0.367009 SUCCESS  22
000110011   24   16   25   26   26   30   19   28  6.341291 0.609060 SUCCESS  23
000110101   20   21   19   24   27   23   21   27  3.696019 0.883456 SUCCESS  24
000110111   25   19   14   27   26   17   24   23  8.635051 0.374011 SUCCESS  25
000111001   23   26   33   20   20   27   32   24  7.706955 0.462606 SUCCESS  26
000111011   25   28   28   17   28   19   15   24  8.966703 0.345113 SUCCESS  27
000111101   24   28   24   18   34   24   15   28 10.501834 0.231554 SUCCESS  28
000111111   24   11   20   25   25   21   28   25  9.516808 0.300589 SUCCESS  29
001000011   30   26   24   19   28   34   21   26  7.732772 0.460000 SUCCESS  30
001000101   20   23   35   25   27   22   24   23  6.299586 0.613713 SUCCESS  31
001000111   21   29   28   22   20   24   21   17  5.814355 0.668018 SUCCESS  32
001001011   20   28   21   20   24   27   24   24  2.985053 0.935292 SUCCESS  33
001001101   18   21   25   22   27   28   24   18  5.060360 0.751106 SUCCESS  34
001001111   32   21   26   21   25   26   22   27  4.189856 0.839600 SUCCESS  35
001010011   21   25   28   30   18   27   31   27  6.537899 0.587207 SUCCESS  36
001010101   20   37   32   25   18   19   19   27 14.501516 0.069594 SUCCESS  37
001010111   18   27   20   23   32   16   22   16 11.592114 0.170351 SUCCESS  38
001011011   30   15   27   30   19   24   27   20  9.035548 0.339306 SUCCESS  39
001011101   20   34   16   20   29   24   22   32 12.128980 0.145541 SUCCESS  40
001011111   27   25   25   24   31   30   38   22 11.581523 0.170874 SUCCESS  41
001100101   23   23   29   17   20   27   19   18  7.457389 0.488181 SUCCESS  42
001100111   28   17   27   20   25   30   23   24  5.409223 0.713075 SUCCESS  43
001101011   29   21   27   20   29   23   18   23  5.290067 0.726171 SUCCESS  44
001101101   23   24   25   25   31   23   26   21  2.647443 0.954501 SUCCESS  45
001101111   17   15   21   22   27   19   27   28  9.152057 0.329632 SUCCESS  46
001110101   26   18   26   24   23   28   27   23  2.960560 0.936808 SUCCESS  47
001110111   29   24   32   23   30   20   15   23  9.408905 0.308983 SUCCESS  48
001111011   28   22   17   25   31   34   25   25  8.910434 0.349908 SUCCESS  49
001111101   26   24   21   30   18   26   25   25  3.807894 0.874027 SUCCESS  50
001111111   24   16   37   22   24   26   24   23 10.171506 0.253194 SUCCESS  51
010000011   26   20   27   36   25   22   19   18 10.145689 0.254949 SUCCESS  52
010000111   23   25   18   18   24   25   24   29  4.493043 0.810129 SUCCESS  53
010001011   26   29   30   24   28   18   22   24  4.876329 0.770709 SUCCESS  54
010001111   25   30   20   26   24   26   19   24  3.629821 0.888884 SUCCESS  55
010010011   32   23   28   25   21   23   23   18  5.485351 0.704662 SUCCESS  56
010010111   17   32   22   26   26   34   24   24  9.147423 0.330013 SUCCESS  57
010011011   21   23   26   23   28   23   20   20  3.035364 0.932119 SUCCESS  58
010011111   26   28   27   26   23   30   23   26  2.657373 0.953988 SUCCESS  59
010100011   28   17   20   20   22   24   16   29  8.643656 0.373242 SUCCESS  60
010100111   20   34   22   28   22   27   35   26 10.919543 0.206300 SUCCESS  61
010101011   28   36   29   31   22   19   18   26 12.316982 0.137611 SUCCESS  62
010101111   20   24   25   25   25   20   14   24  6.279727 0.615930 SUCCESS  63
010110011   34   24   32   21   22   27   23   19  8.697939 0.368415 SUCCESS  64
010110111   32   28   27   29   21   26   31   24  6.632562 0.576744 SUCCESS  65
010111011   26   31   15   22   19   25   17   31 11.356450 0.182309 SUCCESS  66
010111111   22   29   30   26   24   26   25   27  2.996307 0.934589 SUCCESS  67
011000111   27   15   19   27   27   25   28   21  6.891396 0.548394 SUCCESS  68
011001111   23   19   29   19   19   27   28   16  8.508613 0.385426 SUCCESS  69
011010111   25   21   24   19   22   19   21   27  4.000530 0.857076 SUCCESS  70
011011111   21   20   33   28   28   26   29   25  6.563716 0.584349 SUCCESS  71
011101111   23   25   26   30   20   24   17   23  4.764455 0.782429 SUCCESS  72
011111111   24   18   35   23   25   26   25   24  6.731859 0.565820 SUCCESS  73
100000000   30   31   23   28   28   22   29   23  5.581338 0.694013 SUCCESS  74
100010000   26   28   31   24   32   27   31   31  8.938899 0.347477 SUCCESS  75
100100000   26   17   22   33   26   31   20   17 10.899684 0.207448 SUCCESS  76
100101000   28   25   19   33   32   19   15   24 12.365969 0.135607 SUCCESS  77
100110000   33   31   28   20   16   28   27   29 11.071798 0.197664 SUCCESS  78
100111000   33   26   28   31   22   16   31   28 11.267082 0.187020 SUCCESS  79
101000000   22   22   22   24   29   24   27   19  3.163126 0.923707 SUCCESS  80
101000100   26   20   30   21   24   34   24   33  9.800797 0.279287 SUCCESS  81
101001000   22   15   31   22   24   38   20   21 15.229693 0.054830 SUCCESS  82
101001100   24   17   28   20   20   26   29   24  5.527056 0.700041 SUCCESS  83
101010000   13   18   29   19   28   24   18   21 12.150825 0.144600 SUCCESS  84
101010100   21   24   22   27   19   29   22   18  5.136487 0.742894 SUCCESS  85
101011000   25   23   27   23   30   24   30   25  3.148562 0.924691 SUCCESS  86
101011100   25   30   19   26   33   17   22   20  9.205015 0.325298 SUCCESS  87
101100000   22   19   28   27   28   26   30   24  4.309013 0.828223 SUCCESS  88
101100100   23   35   25   19   25   28   26   35 11.529888 0.173444 SUCCESS  89
101101000   25   30   25   16   21   12   29   25 12.262700 0.139862 SUCCESS  90
101101100   24   20   26   31   30   15   16   23 10.924177 0.206033 SUCCESS  91
101110000   23   34   18   31   32   17   20   24 13.162992 0.106363 SUCCESS  92
101110100   28   28   25   27   25   23   30   22  3.072434 0.929730 SUCCESS  93
101111000   26   15   24   20   20   17   24   29  8.719784 0.366483 SUCCESS  94
101111100   29   22   31   23   30   23   24   20  5.308602 0.724140 SUCCESS  95
110000000   29   30   29   23   24   26   32   27  6.056639 0.640887 SUCCESS  96
110000010   25   31   22   21   22   19   27   27  4.646622 0.794591 SUCCESS  97
110000100   27   24   28   23   23   21   30   25  2.842727 0.943836 SUCCESS  98
110001000   21   22   28   30   30   27   30   18  7.291894 0.505492 SUCCESS  99
110001010   19   25   25   30   22   27   22   27  3.655639 0.886781 SUCCESS 100
110010000   24   20   18   27   24   23   19   22  4.415591 0.817817 SUCCESS 101
110010010   27   28   23   19   25   25   25   27  2.486582 0.962354 SUCCESS 102
110010100   24   26   27   24   25   26   19   15  5.509844 0.701949 SUCCESS 103
110011000   33   35   25   24   29   33   28   30 13.828944 0.086334 SUCCESS 104
110011010   34   22   22   23   16   31   20   21 10.619666 0.224194 SUCCESS 105
110100000   30   23   23   27   18   23   26   20  4.527466 0.806679 SUCCESS 106
110100010   28   30   28   21   22   23   29   35  8.903152 0.350532 SUCCESS 107
110100100   25   13   22   21   23   22   19   22  8.057804 0.427844 SUCCESS 108
110101000   22   20   28   13   18   27   22   22  9.626034 0.292260 SUCCESS 109
110101010   29   23   19   33   23   29   21   17  9.137493 0.330830 SUCCESS 110
110101100   26   22   29   26   26   24   20   20  3.112815 0.927079 SUCCESS 111
110110000   19   17   30   28   26   34   24   22  9.697528 0.286900 SUCCESS 112
110110010   24   28   34   24   26   22   26   35  9.691570 0.287344 SUCCESS 113
110110100   27   24   19   18   22   17   23   23  5.991103 0.648228 SUCCESS 114
110111000   29   33   20   25   30   19   26   25  7.554700 0.478130 SUCCESS 115
110111010   34   26   20   24   23   15   26   20  9.594259 0.294666 SUCCESS 116
110111100   28   23   21   25   21   16   36   31 12.163403 0.144061 SUCCESS 117
111000000   20   28   29   29   28   23   33   32  9.378454 0.311382 SUCCESS 118
111000010   28   16   25   25   24   19   25   24  4.831977 0.775375 SUCCESS 119
111000100   26   33   22   32   25   19   27   16 10.460129 0.234203 SUCCESS 120
111000110   28   21   23   26   29   13   30   20  9.780938 0.280739 SUCCESS 121
111001000   18   30   19   28   20   18   21   31  9.737909 0.283905 SUCCESS 122
111001010   26   36   30   21   25   19   25   13 14.399571 0.071927 SUCCESS 123
111001100   23   33   30   25   30   31   23   23  7.903563 0.442947 SUCCESS 124
111010000   24   33   20   24   19   26   24   21  5.807073 0.668832 SUCCESS 125
111010010   28   18   19   23   28   22   24   25  4.416915 0.817687 SUCCESS 126
111010100   20   20   25   21   25   29   25   28  3.621216 0.889581 SUCCESS 127
111010110   25   25   26   18   26   20   22   24  3.052575 0.931015 SUCCESS 128
111011000   21   12   23   23   13   32   30   24 16.456342 0.036295 SUCCESS 129
111011010   26   27   24   24   28   14   16   24  8.534430 0.383078 SUCCESS 130
111011100   31   25   19   23   35   16   22   24 11.179701 0.191724 SUCCESS 131
111100000   21   15   29   29   18   23   32   26 10.399889 0.238073 SUCCESS 132
111100010   27   30   20   26   27   20   35   21  8.901829 0.350645 SUCCESS 133
111100100   21   26   24   29   22   22   24   21  2.485258 0.962415 SUCCESS 134
111100110   27   25   22   24   19   34   26   26  5.910342 0.657274 SUCCESS 135
111101000   16   28   21   18   20   26   24   22  6.940382 0.543078 SUCCESS 136
111101010   28   18   27   23   20   39   22   25 12.765143 0.120190 SUCCESS 137
111101100   21   18   30   21   20   39   25   28 14.459811 0.070540 SUCCESS 138
111101110   26   27   22   24   27   15   28   17  7.543446 0.479287 SUCCESS 139
111110000   19   22   30   32   29   24   34   28 10.615032 0.224480 SUCCESS 140
111110010   20   26   38   31   20   20   27   15 16.280917 0.038531 SUCCESS 141
111110100   23   19   21   28   17   24   29   26  5.687917 0.682143 SUCCESS 142
111110110   30   18   25   25   32   24   24   23  5.638930 0.687604 SUCCESS 143
111111000   22   21   30   31   29   26   31   24  6.767606 0.561901 SUCCESS 144
